Product Name,Price,Image URL,Product Page,Brand,Category,Date Scraped
Floral Embroidered T-Shirt,2290.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0894206901_2.jpg?v=1753768833,https://www.outfitters.com.pk/products/f0894-206,Outfitters,Shirts,7/30/2025
Floral Embroidered T-Shirt,3290.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0893206002_12dbd430-d8ba-4731-bd6d-f47415056138.jpg?v=1753426106,https://www.outfitters.com.pk/products/f0893-206,Outfitters,Shirts,7/30/2025
All-Over Printed Shirt,3690.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0536203999_d5a484ec-82fc-468e-a316-1d0100b90c6e.jpg?v=1753422849,https://www.outfitters.com.pk/products/f0536-203,Outfitters,Shirts,7/30/2025
Shiffli Embroidered Shirt,4490.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0520203126_2.jpg?v=1753770531,https://www.outfitters.com.pk/products/f0520-203,Outfitters,Shirts,7/30/2025
Embroidered T-Shirt,2890.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0899206004_3.jpg?v=1753769198,https://www.outfitters.com.pk/products/f0899-206,Outfitters,Shirts,7/30/2025
Super Cropped Tank T-Shirt With Buttons,1990.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0616206901_4_70290ef2-8c03-48ec-853e-43cd23e3bff8.jpg?v=1747144024,https://www.outfitters.com.pk/products/f0616-206,Outfitters,Shirts,7/30/2025
Slogan T-shirt,1390.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F1218106805.jpg?v=1750781539,https://www.outfitters.com.pk/products/f1218-106,Outfitters,Shirts,7/30/2025
Slogan Graphic Sweatshirt,2190.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0440107112_5.jpg?v=1730100635,https://www.outfitters.com.pk/products/f0440-107,Outfitters,Shirts,7/30/2025
Graphic Tank T-shirt,690.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0560206716.jpg?v=1747143851,https://www.outfitters.com.pk/products/f0560-206,Outfitters,Shirts,7/30/2025
Graphic T-shirt,1690.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F1371106619_5.jpg?v=1752737339,https://www.outfitters.com.pk/products/f1371-106,Outfitters,Shirts,7/30/2025
Graphic T-shirt,1890.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F1324106813_1.jpg?v=1750780974,https://www.outfitters.com.pk/products/f1324-106,Outfitters,Shirts,7/30/2025
Fitted Cropped T-Shirt In Rib,790.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0636206001_1_7bb84907-49bd-49b4-a192-fb8f954e6ce9.jpg?v=1750781575,https://www.outfitters.com.pk/products/f0636-206,Outfitters,Shirts,7/30/2025
Character Graphic T-Shirt,1290.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0856506604_4.jpg?v=1750240303,https://www.outfitters.com.pk/products/f0856-506,Outfitters,Shirts,7/30/2025
Basic V Neck T-shirt,1190.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F1060106117.jpg?v=1729763610,https://www.outfitters.com.pk/products/f1060-106,Outfitters,Shirts,7/30/2025
Zipper Polo Shirt,4290.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F1237106117_3.jpg?v=1753690163,https://www.outfitters.com.pk/products/f1237-106-a,Outfitters,Shirts,7/30/2025
Varsity Graphic T-Shirt,1490.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0838506306_3.jpg?v=1750240573,https://www.outfitters.com.pk/products/f0838-506,Outfitters,Shirts,7/30/2025
Top With Smoke Details,1190.00,https://cdn.shopify.com/s/files/1/2290/7887/files/F0273603125_4.jpg?v=1717071326,https://www.outfitters.com.pk/products/f0273-603,Outfitters,Shirts,7/30/2025
